id,species,family,subfamily,identification,wingspan,caterpillarhost,adultfood,habitat,flight,range
11,American snout,Nymphalidae,Libytheinae,"Labial palps long and extended forward. Tip of forewing squared off. Upperside brown, forewing with orange at base and inner margin, and white spots on outer half. Underside of hindwing mottled or smooth violet-gray.",1 3/8 - 2 inches (3.5 - 5 cm).,Several species of hackberry (Celtis).,"Nectar from flowers of aster, dogbane, dogwood, goldenrod, sweet pepperbush, and others.","Forest clearings and edges, thorn scrub, brushy fields, roadsides.","Two broods; May-June, and August. These butterflies sometimes undertake huge migrations.","Argentina north through Mexico and the West Indies to southern United States. Migrates to central California, southern Nevada, Colorado, and most of the eastern United States."
12,Anaea aidea,Nymphalidae,Charaxinae,Underside looks like a dead leaf.,2 1/4 - 3 1/16 inches (5.7 - 7.8 cm).,Various Croton species in the spurge family (Euphorbiaceae).,"Sap, dung, and decaying fruit.","Tropical forest edges, trails, streamsides.",The dry season form flies from September-April; the wet season form from April-September.,"Northwest Costa Rica north to Mexico. Wanders occasionally to California, Arizona, Kansas, and South Texas."
13,Anaea troglodyta,Nymphalidae,Charaxinae,Forewing tip is slightly hooked and margin is straight; hindwing has a pointed tail. Upperside is red with dark outer margins but few other dark markings; forewing has a dark bar in the cell. Underside resembles a dead leaf.,3 - 3 1/2 inches (7.6 - 9 cm).,Woolly croton (Croton linearis) in the spurge family (Euphorbiaceae).,Rotting fruit and dung.,Pine-palmetto scrub and edges.,The dry season form flies from October-April; the wet season form from May-October.,Extreme southern peninsular Florida and the Florida Keys.
14,Anartia fatima,Nymphalidae,Nymphalinae,Upperside is brown. Forewing has cream or white median and submarginal bands. Hindwing has a cream or white submarginal band and a broken red median band.,2 3/8 - 2 5/8 inches (6 - 7 cm).,"Ruellia in South Texas, other Acanthaceae southward.",Flower nectar.,"Subtropical open and disturbed areas such as fields, weedy places, orchards, and second growth.",Throughout the year in South Texas.,Panama north through Central America to Mexico. Wanders and occasionally colonizes to central and South Texas.
15,Anartia jatrophae,Nymphalidae,Nymphalinae,"Upperside is white with light brown markings and a double row of light crescents at the margins. Forewing has one round, black spot; hindwing has two. Dry season (winter) form is larger and paler; wet season (summer form) is smaller and darker.",2 - 2 3/4 inches (5.1 - 7 cm).,"Water hyssop (Bacopa), Ruellia, and Lippia.","Shepherd\'s needle (Bidens pilosa) in Florida; Cordia, Casearia, and composites in Central America.","Open, moist areas such as edges of ponds and streams, along shallow ditches, weedy fields, parks.",Throughout the year in South Texas and the Deep South.,"Resident from Argentina north through Central America, Mexico, and the West Indies to South Texas and southern Florida. Migrates and temporarily colonizes to central Texas and coastal South Carolina. A rare wanderer to North Carolina, Missouri, Nebraska, and Kansas."
16,Anatrytone logan,Hesperiidae,Hesperiinae,Wings are bright yellow-orange. Upperside has black borders and black veins near the margins; forewing has a black bar at the end of the cell. Females have wider borders and darker markings than males. Underside has no markings but may have darker orange veins.,1 - 1 11/16 inches (2.5 - 4.3 cm).,"Various grasses including big bluestem (Andropogon gerardi), switchgrass (Panicum virgatum), and wooly beard grass (Erianthus divaricatus).","Nectar from pink and white flowers including swamp and common milkweeds, shrub houstonia, mountain mint, marsh fleabane, sweet pepperbush, buttonbush, thistles, and pickerelweed.","Moist areas including marshes, prairies, fields, roadsides, suburban yards.",One brood from July-August in the north; two broods from May-September in the south; several broods from February-October in Florida.,"Southern Maine west across the Great Lakes states and southern Canada to central Montana; south to Florida, the Gulf states, Texas, northeastern New Mexico, and the Mexican highlands to El Salvador."
17,Ancyloxypha numitor,Hesperiidae,Hesperiinae,"Antennae are short. Upperside of forewing is orange with a wide, diffuse black border at the outer margin; hindwing is yellow-orange with a wide black margin. Underside of forewing is black with orange borders at the tip and leading edge; hindwing is yellow-orange.",7/8 - 1 1/8 inches (2.2 - 2.9 cm).,"Various grasses including marsh millet (Zizaniopsis miliacea), rice cutgrass (Leersia oryzoides), and cultivated rice (Oryza sativa).","Flower nectar from low growing plants such as wood sorrel, swamp verbena, pickerelweed, chickory, and white clover.","Moist or wet open places with tall grasses, marshes, ditches, slow streams, hillsides, or old fields with tall grasses.","Three broods from May-October in most of the range, four broods from February-December in the Deep South and Texas.","Nova Scotia west to southern Saskatchewan; south through the eastern states to Florida, the Gulf states, Texas, and southeastern Arizona. Strays to central Colorado."
18,Anteos clorinde,Pieridae,Coliadinae,"Large. Apex of forewing hooked. Wings pale green, fading with age. Yellow bar in forewing cell; more diffuse in female.",2 3/4 - 3 1/2 inches (7 - 9 cm).,Senna (Cassia spectabilis) in the pea family (Fabaceae).,"Nectar from red or purple flowers including Lantana, Bougainvilla, and Hibiscus.","Subtropical, open, sunny areas; migrants found almost anywhere.","Many flights from August-December in south Texas, all year in the tropics.",Resident from Argentina to Mexico; regular migrant to South Texas; occasional in Great Plains to Nebraska and northeast Colorado.
19,Anteos maerula,Pieridae,Coliadinae,"Large. Apex of forewing hooked. Upperside of male bright yellow, female paler; both with black spot in forewing cell.",3 1/4 - 4 5/8 inches (8.2 -11.7 cm).,Cassia (Cassia emarginata) in the pea family (Fabaceae).,Nectar from red and purple flowers including Hibiscus and Bougainvilla.,"Subtropical, open, sunny areas; migrants found almost anywhere.","Two flights, April and August-December, in South Texas; all year in Central and South America.","Resident from Peru to Mexico; rare, irregular migrant to eastern Nebraska, southeast Arizona, southwest New Mexico, south Texas, Mississippi, and Florida."
20,Anthanassa texana,Nymphalidae,Nymphalinae,Outer margin is indented below tip of forewing. Upperside is black with small white spots and some rusty red near wing bases. Hindwing with median band of cream-colored spots.,1 1/4 - 1 7/8 inches (3.2 - 4.8 cm).,"Various low plants of the acanthus family including Ruellia, Jacobina, Beloperone, and Siphonoglossa.",Flower nectar.,"Deserts, dry gulches, open areas, streamsides, road edges, city parks.","Several broods, from March-November in south Florida and Arizona, throughout the year in South Texas and the tropics.","Guatemala north through Mexico to southern California, east across the southern United States to northern Florida, Georgia, and South Carolina. Strays to Arkansas, Missouri, Illinois, South Dakota, and central Nevada."
21,Anthocharis cethura,Pieridae,Pierinae,White to pale yellow with orange tip on forewing. Green marbling on underside of hindwing.,1 - 1 1/2 inches (2.5 - 4.0 cm.),"Tansy-mustard, jewelflower, tumble mustard and probably other plants in Mustard family.",Flower nectar.,Rocky desert hills and ridges.,Early February - April.,Northwestern Nevada south through southeastern California and western Arizona to northern Mexico.
22,Anthocharis julia,Pieridae,Pierinae,"Male white, female pale yellow. Very similar to Stella Orangetip but male pure white with darker marbling below.",1 - 1 1/4 inches (2.5 - 3.1 cm.).,Rock cresses (Arabis) species.,"Flower nectar, including that of rock cresses, violets, and other mustard family plants.","Foothill and mountain canyons, meadows and streamcourses.",May-June.,Southeastern Wyoming south through Colorado Rockies into New Mexico.
23,Anthocharis lanceolata,Pieridae,Pierinae,"Forewing slightly pointed, outer margin concave. Top and bottom of forewing white with black cell spot and black margin at tip. Underside of hindwing with dark veins, dense gray marbling, and a white blotch underneath the costal margin.",1 1/2 - 2 inches (3.8 - 5 cm).,Rock cress (Arabis species) and other mustard family (Brassicaceae) plants.,Flower nectar including rock cress.,"Rocky canyons, draws, forest openings.",One flight from March-June.,"Southwest Oregon south to northern Baja California, western edge of Nevada."
24,Anthocharis midea,Pieridae,Pierinae,"Upperside of male forewing with orange, hooked tip; females hooked, but lack orange; both have round black spot in cell. Underside of hindwing has finely-patterned green marbling.",1 3/8 - 1 3/4 inches (3.5 - 4.5 cm).,Plants of the mustard (Brassicaceae) family including rock cress (Arabis) and winter cress (Barbarea) species.,"Flower nectar including flowers of mustards, violets, and others.","Open, wet woods along waterways, open swamps, occasionally dry woods and ridgetops.",One flight from March-June.,"Southern New England southwest to south Texas, north to eastern Oklahoma and Kansas. Local populations or strays to Florida panhandle, eastern Nebraska, and southern Wisconsin."
25,Anthocharis sara,Pieridae,Pierinae,"Upperside of male forewing with large, orange-red spot; border of apex dark, narrow. Female spot smaller; dark border with white wedges. Underside of hindwing with scattered, dark-green marbling. Late spring individuals are larger with less black and hyave yellow green marbling below. Some individuals are yellow.",1 1/16 - 1 1/2 inches (2.7 - 4.0 cm).,"Plants in the mustard (Brassicaceae) family especially rock cresses such as tower mustard. In California, presence of late flowering \""true\"""" mustards (Brassica species) allows extended larval feeding and a partial second flight.""","Flower nectar, including that of host mustards, thistles, fiddleneck, and brodiaeas.","Open oak woods in hills, orchards, fields, meadows, streamcourses, canyons.",One flight during June in Alaska; primary flight on California coast from February-April with a second partial flight from May-June.,Alaska coast south to Baja California mainly to west of Pacific divide.
26,Anthocharis sara thoosa,Pieridae,Pierinae,"Male white, female either white or yellowish, especially on hindwing. Most similar to Sara Orangetip, but black bar on inner edge of orange tip very wide, and marbling nearly black.",1 - 1 _ inches (2.5-3.7 cm).,Not reported.,"Flower nectar, including that of host mustards.",Mainly juniper or pinyon-juniper woodland. Also desert hills.,Late February through April.,"Arid intermountain West from northern Nevada, Utah, and western Colorado south to western Texas, New Mexico, Arizona, and southeastern California."
27,Anthocharis stella,Pieridae,Pierinae,"Upperside of male forewing with large, orange-red spot; border of apex dark, narrow. Female spot smaller; dark border with white wedges. Underside of hindwing with scattered, olive-green marbling. Some individuals are yellow.",1 3/8 - 1 7/8 inches (3.5 - 4.8 cm).,"Plants in the mustard (Brassicaceae) family including tansy-mustard (Descurainia), hedge mustard (Sisymbrium) and rock cresses (Arabis) species.","Flower nectar, including that of host mustards, violets, thistles, fiddleneck, and brodiaeas.","Deserts, open woods, orchards, fields, meadows, stream courses, canyons.","One flight from late March to mid-August, primarily mid-June through mid-July.","Alaska coast south to Baja California, east to North Dakota, New Mexico, extreme western Texas."
28,Aphrissa statira,Pieridae,Coliadinae,"Upper surface of male wings divided by ridge of scales; outer half of wing pale yellow, inner half lemon yellow. Female lemon yellow with black borders at apex and outer margin, solid black cell spot.",2 3/8 - 3 1/8 inches (6 - 8 cm).,"In Florida, Dalbergia ecastophyllum and Calliandra, both in the pea family (Fabaceae).",Nectar from red-flowered plants including scarlet bush.,"Tropical scrub, gardens, fields, forest edges.",Many flights in Florida from June-February. Makes large migrations in the tropics.,"Argentina north to southern Texas and southern Florida. Stray in southern Georgia, New Mexico, and Kansas."
29,Aphrodite fritillary,Nymphalidae,Heliconiinae,Geographically variable. Upperside reddish orange-brown; male forewing with black spot below cell and with no black scales on veins. Underside of hindwing has pale submarginal band narrow or missing.,2 1/2 - 3 1/4 inches (6.3 - 8.3 cm).,Various violet species including northern downy violet (Viola fimbriatula) and lance-leaved violet (V. lanceolata).,"Nectar from flowers of milkweed and viper's bugloss, among others.","Moist prairies, high mountain meadows, openings in barrens, brushland, dry fields, open oak woods, bogs.",One brood from mid-June to mid-September.,"Canada south of the taiga from Nova Scotia west through the northern Midwest and Great Plains to the Rocky Mountains, then south in the mountains to east-central Arizona and northern New Mexico; south in the Appalachians to northern Georgia."
30,Apodemia mormo,Riodinidae,Riodininae,"Upperside orange-brown to black, checkered with black and white spots. Tan to brick-red patch on forewing. Underside gray with white spots; forewing with brick-red patch.",7/8 - 1 1/4 inches (2.2 - 3.3 cm).,Various wild buckwheats (Eriogonum).,"Nectar from flowers of Eriogonum and other plants, especially yellow-flowered composites such as Senecio and rabbitbrush..",Various arid lands,"July-September in the north, March-October in the south.","North Dakota (few) west to Washington, south through to southern California, Arizona, New Mexico."
31,Apodemia palmeri,Riodinidae,Riodininae,"Dark brown or gray with copper tinge. Many small white spots, some forming submarginal bands at margins of both wings. Underside orange with white spots and black submarginal spots.",3/4 - 1 1/8 inches (2 - 3 cm).,Screwbean mesquite (Prosopis pubescens) and honey mesquite (P. glandulosa var. torreyana).,Flower nectar.,Mesquite desert and thorn scrub.,"Two broods from May-September in Nevada and Utah, many broods from April-November in the south.","West Texas, New Mexico, Arizona, southern Utah, southern Nevada, and southern California south to central Mexico and Baja California."
32,Appias drusilla,Pieridae,Pierinae,Male is solid white on both upper and lower surfaces of wings except for a narrow edging of black along the forewing costal margin. Female has 2 forms: the dry-season form is all white; the wet season form has black along the forewing costal margin and a yellow-orange upper hindwing.,2 1/8 - 3 inches (5.3 - 7.7 cm).,"Various plants in the family Putranjivaceae and family Brassicaceae, including Guiana plum (Drypetes lateriflora) and Limber Caper or Bayleaf Capertree (Capparis flexuosa) in Florida.",Flower nectar from a variety of weeds and garden plants including lantana and eupatorium.,Tropical lowland evergreen or semideciduous forests.,"Dry-season form from October-April, wet-season form from May-September.","Tropical America from Brazil north to southern peninsular Florida and the Keys; Antilles. Frequently visits coastal Texas, rare stray to Nebraska and Colorado."
33,Asterocampa celtis,Nymphalidae,Apaturinae,"Extremely variable geographically. Upperside is reddish brown. Forewing has 1 submarginal eyespot, a jagged row of white spots, and the cell has 1 solid black bar and 2 separate black spots.",1 3/8 - 2 1/2 inches (3.5 - 6.3 cm).,Various hackberries (Celtis species) and sugarberry (Celtis laevigata).,"Sap, rotting fruit, dung, carrion. Will take moisture at wet spots along roads and streams.","Along wooded streams, forest glades and river edges, wooded roadsides, towns.",Two broods from May-October.,"Resident in most of the eastern United States, central Plains states, and the southwest mountains; northern Mexico."
34,Asterocampa clyton,Nymphalidae,Apaturinae,"Geographically variable. Upperside is chestnut brown; forewing with 2 brown bars in the cell, no white spots, and no eyespots near the outer margin. Hindwing uppersides are orange with black submarginal spots in one form, and all black in the other form.",1 5/8 - 2 3/4 inches (4.2 - 7 cm).,"Trees of the elm family including Celtis occidentalis, C. tenuifolia, C. laevigata, C. lindheimeri, and C. reticulata.","Tree sap, rotting fruit, dung, carrion. Tawny Emperors almost never visit flowers.","Densely wooded riparian areas, dry woods, open woods, cities, fencerows, parks.","One brood in the north from June-August, two broods in the south from March-November.","North Dakota south to Texas, east to New England through most of the southeastern states. Isolated populations in Florida, southwest New Mexico, and southeastern Arizona."
35,Asterocampa leilia,Nymphalidae,Apaturinae,"Upperside is chestnut brown; forewing has 2 solid brown bars in the cell, median white spots, and 2 black eyespots near the outer margin.",1 1/2 - 3 inches (3.8 - 7.6 cm).,Tree Celtis pallida in the elm family (Ulmaceae).,"Sap and dung, occasionally flower nectar.","Thorn scrub, washes, canyons, streamsides.","All year in South Texas, April-November in Arizona.","Southern Arizona east to South Texas, south to central Mexico."
36,Astraptes fulgerator,Hesperiidae,Pyrginae,Tailless; wings brown. Upperside of body and basal part of wings are iridescent blue; forewing has a white band and small white spots near the apex. Male has a costal fold containing scent scales on the forewing. Underside of forewing has a white patch at base; head and thorax are yellow below.,1 7/8 - 2 3/8 inches (4.8 - 6.1 cm).,Coyotillo in Texas and Vitex in Mexico.,Flower nectar or bird droppings.,Tropical forests near rivers or streams.,All year in South Texas.,"Argentina north through Central America to the lower Rio Grande Valley, Texas. Strays to central Texas and southeastern New Mexico."
37,Atalopedes campestris,Hesperiidae,Hesperiinae,"Upperside of male is yellow-orange with a wide brown border and a large squarish black stigma. Female upperside varies from yellow-brown to very dark brown, but always has a square transparent white spot at the end of the forewing cell. Underside of female hindwing is brown with nearly square cream or white spots.",1 1/4 - 1 5/8 inches (3.2 - 4.2 cm).,"Grasses including Bermuda grass (Cynodon dactylon), crabgrass (Digitaria), St. Augustine grass (Stenotaphrum secundatum), and goosegrass (Eleusine).","Nectar from many flowers including swamp and common milkweeds, buttonbush, dogbane, peppermint, red clover, tickseed sunflower, thistles, New York ironweed, marigold, and asters.","Disturbed, open areas such as roadsides, landfills, pastures, meadows, fencerows, yards, parks, and lawns.",Three broods from May-November in the north; four to five broods from March-December in the Deep South.,"Southern United States from Virginia west to California; south through Mexico and Central America to Brazil. Strays and colonizes north to central North Dakota, southern Michigan, Manitoba, and northern Pennsylvania."
38,Atrytonopsis hianna,Hesperiidae,Hesperiinae,Fringes are brown with a few white spots. Upperside is gray-black; male forewing has a tiny stigma. Underside of hindwing is gray with white dusting outwardly and usually at least one white dot at the wing base. Populations on the southern Great Plains (A. h. turneri) are paler gray; those in Florida and along the southern Atlantic coast (A. h. loammi) have white spots on the hindwing undersides.,1 1/4 - 1 11/16 inches (3.2 - 4.3 cm).,Little bluestem (Andropogon scoparius) and big bluestem (A. gerardi).,"Nectar from flowers including Japanese honeysuckle, wild strawberry, blackberry, wild hyacinth, phlox, vervain, and red clover.","Grasslands, prairies, barrens, and old fields.",One brood from May-June in the north; two broods from March-October in Florida.,"Local. Eastern Wyoming, central Colorado, northern New Mexico, and central Texas east to New Hampshire and Massachusetts; south to peninsular Florida and the Gulf Coast."
39,Autochton cellus,Hesperiidae,Pyrginae,"Wings are dark brown-black. Forewing has a wide yellow band, and a small white patch near the apex. Underside is dark brown with 2-3 darker bands; hindwing margin may have gray overscales.",1 3/8 - 2 inches (3.5 - 5.1 cm).,New Mexico locust (Robinia neomexicana) and hog peanut (Amphicarpa bracteata).,"Nectar from flowers including trailing arbutus, blackberry, abelia, and hollyhock.","Damp, wooded ravines with permanent water sources.","Two broods; from May-August in the north, April-September in the south. One brood from June-September in southern Arizona.","In the west from central Arizona, southwest New Mexico, and west Texas south to central Mexico. In the east from Maryland south to South Carolina, west to eastern Oklahoma and northeast Texas. Isolated population in northern Florida."
40,Autochton cincta,Hesperiidae,Pyrginae,Upperside of wings is dark brown; forewing has a narrow white band. Hindwing fringe is pure white.,Not reported.,Beggar's ticks (Desmodium) in the pea family (Fabaceae).,Flower nectar.,Oak-pine woodlands.,Probably several from March-September.,Chisos Mountains of west Texas south to El Salvador.
41,Baltimore checkerspot,Nymphalidae,Nymphalinae,Geographically variable. Upperside is black with red-orange crescents on outer margins of both wings and rows of creamy white spots inward.,1 3/4 - 2 3/4 inches (4.5 - 7 cm).,"Plants where eggs are laid and that caterpillars eat before hibernating are turtlehead (Chelone glabra), hairy beardtongue (Penstemon hirsutus), English plantain (Plantago lanceolata), and false foxglove (Aureolaria). After overwintering, caterpillars may continue to use these plants, but may also wander and feed on unrelated plants including arrowwood (Viburnum recognitum), common lousewort (Pedicularis canadensis), Japanese honeysuckle (Lonicera japonica), and white ash (Fraxinus americana).","Nectar from flowers of milkweed, viburnum, and wild rose.","Wet meadows, bogs, and marshes in the northeast part of the range; dry open or wooded hillsides in the southwest.","One brood; from May-June in the south, June-August in the north.","Very local. Nova Scotia west across the Great Lakes region to southeast Manitoba; south through the eastern United States to northern Georgia, northern Mississippi, and northeast Oklahoma. Isolated records in northeast Texas and Nebraska."
42,Battus philenor,Papilionidae,Papilioninae,Upper surface of hindwing iridescent blue or blue-green. Underside of hindwing with submarginal row of 7 round orange spots in iridescent blue field.,2 3/4 - 5 inches (7 - 13 cm).,"Pipevines (Aristolochia species), including Aristolochia californica, A. serpentaria and others.","Solely nectar from flowers including thistles (Cirsium species), bergamot, lilac, viper's bugloss, common azaleas, phlox, teasel, azaleas, dame's-rocket, lantana, petunias, verbenas, lupines, yellow star thistle, California buckeye, yerba santa, brodiaeas, and gilias.","A wide variety of open habitats, open woodland, and woodland edges.","In the East and California, adults fly primarily in late spring (though as early as late February or March) and summer, but the butterfly is commoner in late summer and fall in the South and Southwest. Where lack of freezing temperatures permit, adults ma",Rare stray to Canada (s. Manitoba). Tropical lowlands south to southern Mexico.
43,Battus polydamas,Papilionidae,Papilioninae,Lacks tails. Black above with submarginal yellow band.,3 1/2 - 4 1/2 inches (9 - 12 cm).,Pipevines (Aristolochia species).,Nectar of lantana. Occasionally seen feeding on honeysuckle and soapweed flowers.,"Open woods, abandoned fields, disturbed areas.",Two-3 flights from April-November.,South Texas and peninsular Florida south to Argentina. Strays north to Kentucky and Missouri.
44,Biblis hyperia,Nymphalidae,Biblidinae,Upperside is brown-black; hindwing has a red submarginal band and a scalloped outer edge.,2 - 3 inches (5.1 - 7.6 cm).,Noseburn (Tragia volubilis) in the spurge family (Euphorbiaceae).,Rotting fruit and other non-floral resources.,Open subtropical forests.,"February and July-November in South Texas, March-November in Mexico and Central America.","Paraguay north through Central America to Mexico and the West Indies. Periodic resident in the lower Rio Grande Valley, Texas; strays to central Texas."
45,Boloria alberta,Nymphalidae,Heliconiinae,Dull and dark. Males smoky orange; females smoky brown and pale orange; both with blurred markings.,1 1/2 - 1 3/4 inches (3.8 - 4.5 cm).,Probably alpine avens (Dryas octopetala).,Flower nectar.,"Barren, windswept alpine ridges.",One brood from late July-early August.,Uncommon. British Columbia and Alberta south to northern Washington and northern Montana.
46,Boloria astarte,Nymphalidae,Heliconiinae,Wings orange-brown; upperside with dark markings heaviest near base of wings; underside of hindwing with white median and postmedian bands; submarginal and postmedian rows of small black spots.,1 5/8 - 2 inches (4.2 - 5.1 cm).,Spotted saxifrage (Saxifraga bronchialis).,Flower nectar.,"Windswept, barren, alpine and arctic ridges.",One flight from June-August.,Very uncommon. Western mountains from Alaska and Yukon south through British Columbia and Alberta to northern Washington and northern Montana.
47,Boloria bellona,Nymphalidae,Heliconiinae,Forewing squared off below tip. Upperside orange-red with heavy black markings. Underside of hindwing patterned with orange and purple-brown; off-white basal patch and metallic silver spots lacking.,1 3/8 - 2 inches (3.5 - 5.1 cm).,Violets including northern white violet (Viola pallens) and woolly blue violet (V. sororia).,"Favorite nectar sources are composites, including black-eyed susans, dandelions, and ox-eyed daisy. Plants from other families, such as verbena and dogbane, are visited less often.","Usually wet places marshes, wet aspen groves.",Two to three broods from late April to mid-October.,"Eastern British Columbia east through southern Canada and northern United States to Newfoundland; south to northcentral Oregon, central Colorado, northeast Tennessee, and northwest North Carolina. Due to its adaptability to disturbed habitats, the butterfly is expanding its range southward from the southeastern states."
48,Boloria chariclea,Nymphalidae,Heliconiinae,"Variable. Wings orange-brown with dark markings. Underside of hindwing margin has thin white spots topped with brown; inwardly pointing triangles are black with little or no white areas. Median band pale yellow-brown to purple-brown with wavy, sometimes broken, black line.",1 3/16 - 1 1/2 inches (3.1 - 3.9 cm).,"Violets (Viola), scrub willows (Salix), and possibly blueberries (Vaccinium).","Nectar from goldenrods (Solidago graminifolia, S. rugosa, and S. squarrosa) and asters.","Taiga, tundra, alpine meadows and streamsides, acid bogs.",One brood from late June-August.,"Holarctic. Alaska through most of Canada east to Labrador and south to the north Cascades, south through the Rocky Mountains to Utah and northern New Mexico; northern Minnesota, northern Maine, and the White Mountains of New Hampshire."
