id,latin_name,plant_common_name,plant_family,plant_habitats,plant_range,plant_physical_characteristics,plant_cultivation,plant_propagation,image_file,img_attr
11,Hemerocallis,,Hemerocallidaceae,"Forest margins, grassy fields and slopes along valleys, from near sea level to 2000 metres[266].",E. Asia - S. China.,"Hemerocallis is a PERENNIAL growing to 1.2 m (4ft).  It is not frost tender.  It is in flower from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and can grow in heavy clay soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil.","Succeeds in most soils[1], including dry ones, preferring a rich moist soil[205]. Grows well in heavy clay soils. Succeeds in short grass if the soil is moist[1]. Succeeding in sun or shade, it produces more flowers in a sunny position though these flowers can be shorter-lived in very sunny positions[205]. Prefers a pH between 6 and 7[200]. According to the Flora of China, this species is no more than a synonym for H. citrina[266]. It is, however, seen as a distinct species in other treatments and so is maintained here as a separate species[K]. Hybridizes freely with other members of this genus[200]. The plant forms pseudobulbs, these stand vertically in the ground[205]. Individual flowers are very short-lived, they open in the late afternoon and fade in the following morning[205]. Plants take a year or two to become established after being moved[1]. Plants seem to be immune to the predations of rabbits[233]. The plants are very susceptible to slug and snail damage, the young growth in spring is especially at risk[200].","Seed - sow in the middle of spring in a greenhouse. Germination is usually fairly rapid and good, pot up the seedlings in individual pots when they are large enough to handle. Grow the plants on for their first winter in a greenhouse and plant out in late spring[K]. Division in spring or after flowering in late summer or autumn[200]. Division is very quick and easy, succeeding at almost any time of the year[K]. Larger clumps can be replanted direct into their permanent positions, though it is best to pot up smaller clumps and grow them on in a cold frame until they are rooting well. Plant them out in the spring.",Hemerocallis.jpg,https://commons.wikimedia.org/w/index.php?curid=2129298
12,Baptisia,"Wild Indigo, Blue wild indigo, Blue False Indigo",Fabaceae or Leguminosae,"Rich woods and alluvial thickets, often on river banks[43].","Eastern and Central N. America - Pennsylvania to Georgia, west to Texas, Nebraska and Indiana.","Baptisia is a PERENNIAL growing to 1.5 m (5ft) by 0.6 m (2ft in) at a slow rate. It is hardy to zone (UK) 5. It is in leaf from May to October, in flower from July to August, and the seeds ripen from August to September. The species is hermaphrodite (has both male and female organs). It can fix Nitrogen.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: acid and neutral soils. It cannot grow in the shade. It prefers dry or  moist soil.","Landscape Uses:Border, Container, Foundation, Massing, Seashore. Prefers a deep, well-drained neutral to slightly acid soil in full sun[188, 200]. Grows freely in a loamy soil[1]. Succeeds in a hot dry position. Succeeds in a rich moist soil in sun or light shade[187]. Plants are hardy to about -20°c[187]. A very ornamental species, but it is somewhat shy flowering in British gardens[1]. Plants have a very deep root system and dislike root disturbance, they should be left alone once they are established[188, 233]. This species has a symbiotic relationship with certain soil bacteria, these bacteria form nodules on the roots and fix atmospheric nitrogen. Some of this nitrogen is utilized by the growing plant but some can also be used by other plants growing nearby[200]. Special Features:Attracts birds, Attractive foliage, North American native, Naturalizing, Attracts butterflies, Suitable for cut flowers, Suitable for dried flowers. The plant is heat tolerant in zones 9 through 1. (Plant Hardiness Zones show how well plants withstand cold winter temperatures. 
Plant Heat Zones show when plants would start suffering from the heat.  
The Plant Heat Zone map is based on the number of ""heat days"" experienced in a given area where the temperature climbs to over 86 degrees F (30°C). 
At this temperature, many plants begin to suffer physiological damage. Heat Zones range from 1 (no heat days) to 12 (210 or more heat days). 
For example Heat Zone. 11-1 indicates that the plant is heat tolerant in zones 11 through 1.)  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is a clumper with limited spread [1-2]. The root pattern is a tap root similar to a carrot going directly down [1-2].",Seed - best sown as soon as it is ripe in a cold frame[200]. Stored seed should be pre-soaked for 24 hours in warm water and then sown in a cold frame in late winter or early spring. Prick out the seedlings into individual pots as soon as they are large enough to handle and plant them out into their permanent positions in the summer or following spring. Division in spring[188]. Larger divisions can be planted straight into their permanent positions whilst smaller clumps are best potted up and kept in a cold frame until they are growing away well.,Baptisia.jpg,https://commons.wikimedia.org/w/index.php?curid=173799
13,Erigeron,"Canada Fleabane, Canadian horseweed",Asteraceae or Compositae,"Light soils on waste and cultivated land, also on walls, avoiding acid soils in Britain[17].",N. America. Naturalized in Britain[17].,"Erigeron is a ANNUAL growing to 1 m (3ft 3in) by 0.5 m (1ft 8in).  It is hardy to zone (UK) 7.  It is in flower from June to October, and the seeds ripen from July to October. The species is monoecious (individual flowers are either male or female, but both sexes can be found on the same plant) and is pollinated by Bees, flies. It is noted for attracting wildlife.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil and can tolerate drought.","Prefers a well-drained light or medium neutral to alkaline soil in a sunny position, though it tolerates most conditions[238]. Originally from N. America, Canada fleabane has become naturalized in many areas of the world and is considered to be a nuisance weed in many areas[268]. The plant is very adaptable to differing conditions and can vary dramatically in height, from only a few centimetres in poor soils to as much as 3 metres tall in rich soils[213]. The plant is used commercially as a food flavouring[183]. A good bee plant[200] but unfortunately it also harbours various insect pests such as the tarnished plant bug[1].",Seed - we have no information on this species but suggest sowing the seed in spring in situ. An autumn sowing in situ might also be worthwhile.,Erigeron.jpg,https://commons.wikimedia.org/w/index.php?curid=6979313
14,Ageratum,"Goatweed, Tropical whiteweed",Asteraceae or Compositae,"A common weed of cultivated ground, having spread from its native range to all areas of the Tropics within 20° of the Equator, to an altitude of 2,500 metres[200].",S. America.,"Ageratum is a ANNUAL growing to 1 m (3ft 3in).  It is hardy to zone (UK) 9. It is in leaf from May to October, in flower from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers  moist soil.","Succeeds in full sun in a sheltered position in any reasonably fertile moisture-retentive soil that does not dry out in the summer[200]. Plant vigour and flowering periods are much reduced on dry soils[200]. This species is not frost hardy, though it can be grown as a summer annual in Britain[200]. The fresh plant is malodorous[200].","Seed - sow late winter or early spring in a warm greenhouse and only just cover the seed. Prick out the seedlings when large enough to handle and plant out after the last expected frosts[200]. Seed can also be sown in situ in the spring and, for earlier blooms, it is possible to sow it in late summer or early autumn, though it will need to be overwintered in a warm greenhouse[200].",Ageratum.jpg,https://commons.wikimedia.org/w/index.php?curid=96103793
15,Echinops,,Asteraceae or Compositae,Grassland and open forests at elevations of 100 - 2200 metres[266].,"E. Asia - China, Siberia, Mongolia.","Echinops is a PERENNIAL growing to 0.5 m (1ft 8in).  It is hardy to zone (UK) 3.  It is in flower from July to September, and the seeds ripen from August to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought.","Succeeds in a sunny position in any well drained soil of low or medium fertility[200]. Established plants are drought tolerant[190]. The flowers are often used for dried flower displays[200]. If all the flowers are removed early in the season, the plant will often produce a second flush of bloom later in the summer[200].","Seed - sow early spring in a cold frame[111]. The seed usually germinates in 3 - 9 weeks at 25°c[175]. When they are large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. The seed can also be sown in an outdoor seedbed in mid spring and is then planted out into its permanent position in late summer or the autumn[111]. Division in autumn[111]. Root cuttings in the winter[200].",Echinops.jpg,https://commons.wikimedia.org/w/index.php?curid=4639578
16,Solidago,"Canadian Goldenrod, Shorthair goldenrod, Harger's goldenrod, Rough Canada goldenrod, Common Goldenro",Asteraceae or Compositae,"Dry to damp thickets, roadsides, slopes and clearings, avoiding acid soils.","Eastern N. America - Newfoundland to Ontario, south to Virginia. Naturalized in Britain[17].","Solidago is a PERENNIAL growing to 1.8 m (6ft) by 1 m (3ft 3in) at a medium rate.  It is hardy to zone (UK) 3.  It is in flower from August to October, and the seeds ripen from September to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is self-fertile. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and can grow in heavy clay soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.","Landscape Uses:Border, Container, Foundation, Seashore, Specimen, Woodland garden. Succeeds in any moderately fertile moisture retentive soil in sun or semi-shade[200]. Grows well in heavy clay soils. A rather greedy plant, it is apt to impoverish the soil[1]. The flowers attract butterflies and moths[30]. The plant also attracts various beneficial insects such as ladybirds, lacewings and hoverflies to the garden, these insects will help to control insect pests in the garden[201, 238]. Special Features:
Attractive foliage, North American native, Naturalizing, Suitable for cut flowers, Suitable for dried flowers.","Seed - sow spring in a cold frame. Only just cover the seed and do not allow the compost to become dry. Prick out the seedlings into individual pots when they are large enough to handle, and grow them on for their first winter in pots. Plant them out into their permanent positions in spring or early summer. Division in spring or autumn. Larger divisions can be planted out direct into their permanent positions. We have found it best to pot up the smaller divisions and grow them on in a lightly shaded position in a cold frame, planting them out once they are well established in the summer.",Solidago.jpg,https://commons.wikimedia.org/w/index.php?curid=4763422
17,Cornus racemosa,Silky Dogwood,Cornaceae,Swamps and damp thickets[43]. Low woods and along the sides of streams[235].,"Eastern N. America - Newfoundland to Ontario, south to Florida and Texas.","Cornus amomum is a deciduous Shrub growing to 3 m (9ft 10in) at a medium rate.  It is hardy to zone (UK) 5.  It is in flower in July. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and can grow in heavy clay soil. Suitable pH: acid, neutral and basic (alkaline) soils and can grow in very alkaline soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.","Landscape Uses:Border, Massing, Specimen, Woodland garden. An easily grown plant that thrives in Britain, it succeeds in any soil of good or moderate fertility[1], ranging from acid to shallow chalk[200]. Grows well in heavy clay soils. Succeeds in full sun or light shade[188]. Plants in this genus are notably resistant to honey fungus[200]. Special Features:
Attracts birds, Attractive foliage, Not North American native, Naturalizing, Wetlands plant, Attracts butterflies, Attractive flowers or blooms.","Seed - best sown as soon as it is ripe in a cold frame or in an outdoors seedbed if there is sufficient seed[80, 113]. The seed must be separated from the fruit flesh since this contains germination inhibitors[80, 164]. Stored seed should be cold stratified for 3 - 4 months and sown as early as possible in the year[164]. Scarification may also help as may a period of warm stratification before the cold stratification[80, 164]. Germination, especially of stored seed, can be very slow, taking 18 months or more[164]. Prick out the seedlings of cold-frame sown seeds into individual pots as soon as they are large enough to handle and grow the plants on for their first winter in a greenhouse, planting out in the spring after the last expected frosts. Cuttings of half-ripe side shoots, July/August in a frame. Cuttings of mature wood of the current year's growth, taken with a heel if possible, autumn in a cold frame. High percentage[78]. Layering of new growth in June/July. Takes 9 months[78].",Cornus_racemosa.jpg,https://commons.wikimedia.org/w/index.php?curid=19873364
18,Helenium,"Bitter Sneezeweed, Sneezeweed",Asteraceae or Compositae,"Open ground, roadsides etc[43]. Open woods, fields, pastures and disturbed areas in Texas[274].",Eastern N. America - New York to Florida.,"Helenium is a ANNUAL growing to 0.6 m (2ft).  It is in flower from August to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, Lepidoptera (Moths & Butterflies). It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers  moist soil.",Grows well in ordinary garden soil[1]. Prefers a fertile moisture retentive soil in a sunny position[200]. Dislikes dry soils[200]. Plants seem to be immune to the predations of rabbits[233]. A good bee and butterfly plant[30]. The whole plant is very aromatic[200].,"Seed - sow spring in a greenhouse. When they are large enough to handle, prick the seedlings out into individual pots and plant them out in early summer. If you have sufficient seed it would be worthwhile trying a sowing in situ outdoors in mid to late spring.",Helenium.jpg,https://commons.wikimedia.org/w/index.php?curid=7805822
19,Alcea,Hollyhock,Malvaceae,Not known in a truly wild situation.,"The original habitat is obscure, it is probably of hybrid origin. A garden escape in Britain[17].","Alcea is a PERENNIAL growing to 2.4 m (7ft) by 0.6 m (2ft in) at a fast rate. It is hardy to zone (UK) 6 and is not frost tender.  It is in flower from July to September, and the seeds ripen from August to October. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: acid, neutral and basic (alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil.","Landscape Uses:Border, Container, Foundation, Specimen. Succeeds in most soils[1]. Poor soils should be enriched with organic matter[1, 111]. Prefers a heavy rich soil and a sheltered sunny position[200]. Plants are hardy to about -15°c[200]. A very ornamental plant, it is usually grown as a biennial due to its susceptibility to the fungal disease 'rust'[1, 200]. There are many named varieties[238]. Young plants, and also the young growth in spring, are very attractive to slugs[K].  Special Features:Attracts birds, Attracts butterflies, Suitable for cut flowers, Attractive flowers or blooms. The plant is heat tolerant in zones 10 through 3. (Plant Hardiness Zones show how well plants withstand cold winter temperatures. 
Plant Heat Zones show when plants would start suffering from the heat.  
The Plant Heat Zone map is based on the number of ""heat days"" experienced in a given area where the temperature climbs to over 86 degrees F (30°C). 
At this temperature, many plants begin to suffer physiological damage. Heat Zones range from 1 (no heat days) to 12 (210 or more heat days). 
For example Heat Zone. 11-1 indicates that the plant is heat tolerant in zones 11 through 1.)  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is a clumper with limited spread [1-2].","Seed - sow April/May or August/September in pots or in situ[200, 238]. Easily grown from seed, which usually germinates in about 2 - 3 weeks at 20°c[133, 268]. When large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. Division after flowering. Only use rust-free specimens. Root cuttings in December. Basal cuttings at almost any time of year.",Alcea.jpg,https://commons.wikimedia.org/w/index.php?curid=14700620
20,Ptelea trifoliata,"Hop Tree, Common hoptree, Pallid hoptree",Rutaceae,"Moist places, rocky slopes, edges of woods[21], alluvial thickets and gravels[43]. It is found in many different soil types[227].","Eastern N. America - Quebec and New York to Florida, west to Texas and Kansas.","Ptelea trifoliata is a deciduous Tree growing to 6 m (19ft) by 6 m (19ft) at a slow rate. It is hardy to zone (UK) 5 and is not frost tender.  It is in flower from June to July, and the seeds ripen from October to November. The species is hermaphrodite (has both male and female organs) and is pollinated by Carrion flies.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.","Succeeds in any fertile well-drained moisture retentive soil in full sun or light part day shade[11, 200]. The young growth in spring can be damaged by late frosts. A very ornamental plant[50], it is slow-growing and short-lived in the wild[229]. The sub-species P. trifoliata mollis. Torr.&Gray. is the form that is eaten by children[161]. The leaves are aromatic[188]. All parts of the plant emit a disagreeable odour[227]. The flowers are especially pungent and are pollinated by carrion flies[229]. Plants in this genus are notably resistant to honey fungus[200].","Seed - best sown as soon as it is ripe in a cold frame[200]. Stored seed requires 3 months cold stratification at 5°c and should be sown as early as possible in the year[113]. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in light shade in the cold frame for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Very little of the seed produced in Britain is viable[11]. Cuttings of half-ripe wood, July/August in a frame[113]. Layering.",Ptelea_trifoliata.jpg,https://commons.wikimedia.org/w/index.php?curid=93179250
21,Eupatorium purpureum,Gravel Root,Asteraceae or Compositae,"Swampy and rich low ground and in woods, especially on calcareous soils[4, 21, 43].","Eastern N. America - New Hampshire to Minnesota, south to Florida and Oklahoma[187]..","Eupatorium purpureum is a PERENNIAL growing to 2 m (6ft) by 1 m (3ft 3in) at a fast rate. It is hardy to zone (UK) 4.  It is in flower from August to October, and the seeds ripen from September to November. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is self-fertile. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.","Landscape Uses:Border, Massing, Specimen, Woodland garden. Succeeds in ordinary garden soil that is well-drained but moisture retentive in sun or part shade[200]. Plants can be grown in quite coarse grass, which can be cut annually in the autumn[233]. A very cold-hardy plant, tolerating temperatures down to about -25°c[187]. The bruised leaves have a vanilla-like odour[213]. Plants seem to be immune to the predations of rabbits[233]. Butterflies are attracted to this plant[187].  Special Features:North American native, Fragrant foliage, Naturalizing, Wetlands plant, Attracts butterflies, Suitable for cut flowers. In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is clumping, giving the plant a clumping habit. The predictable growth behaviour makes it easier to maintain without having to apply containment methods[2-1].","Seed - sow spring in a cold frame and only just cover the seed. Prick out the seedlings into individual pots when they are large enough to handle and plant them out into their permanent positions in the summer. Division in spring or autumn[111]. Very easy, the clumps can be replanted direct into their permanent positions.",Eupatorium_purpureum.jpg,https://commons.wikimedia.org/w/index.php?curid=42811886
22,Lavendula,French Lavender,Lamiaceae or Labiatae,"Dry hills, garigue and open woods on limestone and granite soils[89].",S.W. Europe.,"Lavandula stoechas is an evergreen Shrub growing to 0.8 m (2ft 7in) by 0.8 m (2ft 7in).  It is hardy to zone (UK) 8. It is in leaf all year, in flower from May to August, and the seeds ripen from July to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, Lepidoptera (Moths & Butterflies). It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils and can grow in very alkaline soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought. The plant can tolerates strong winds but not maritime exposure.","Succeeds in almost any soil so long as it is well-drained and not too acid[1, 200]. Prefers a sunny position in a neutral to alkaline soil[1, 200], growing well on chalk[11]. When grown in rich soils the plants tend to produce more leaves but less essential oils[4]. Grows well in a hot dry position[166]. Established plants are drought tolerant[190]. When growing for maximum essential oil content, the plant must be given a very warm sunny position and will do best in a light sandy soil, the fragrance being especially pronounced in a chalky soil[245]. Hardy to between -5 and -10°c[184], it is often killed in severe winters in Britain[11]. Plants are not very long-lived and soon become straggly unless pruned. Any trimming of the plant is best done in spring and should not be done in the autumn since this can encourage new growth that will not be very cold-hardy[200]. Polymorphic[200]. A good bee plant, also attracting butterflies and moths[30]. The flowering spike has showy infertile flowers to attract insects at the top of the stem and small fertile flowers beneath[190]. A good companion for most plants[54], growing well with cabbages[14].","Seed - sow spring in a greenhouse and only just cover the seed[4]. It usually germinates in 1 - 3 months at 15°c. When large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse or cold frame for their first winter, planting them out in late spring after the last expected frosts. Cuttings of half-ripe wood 7 - 10cm with a heel, July/August in a frame. Usually very east, a high percentage will root within a few weeks[78]. Grow them on in the greenhouse for their first winter and plant them out in late spring after the last expected frosts. Cuttings 7cm with a heel succeed at almost any time of the year[1]. Layering.",Lavendula.jpg,https://commons.wikimedia.org/w/index.php?curid=322384
23,Syringa,"Lian Qiao, Weeping forsythia",Oleaceae,"Thickets, moors and cliffs, 300 - 1200 metres[109]. Thickets or grassy areas on slopes, valleys and gullies at elevations of 300 - 2200 metres[266].",E. Asia - E. China.,"Syringa is a deciduous Shrub growing to 5 m (16ft) by 5 m (16ft) at a medium rate.  It is hardy to zone (UK) 5 and is not frost tender.  It is in flower from March to April. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is not self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in heavy clay soil. Suitable pH: acid, neutral and basic (alkaline) soils and can grow in very alkaline soils. It can grow in full shade (deep woodland) semi-shade (light woodland) or no shade. It prefers  moist soil.","An easily grown plant, it succeeds in all soil types[202] but prefers a rich soil. Succeeds in limey soils. Grows well in heavy clay soils. It prefers a sunny position but succeeds in semi shade though it is apt to get leggy if grown in the shade of trees[182]. Succeeds against a north-facing wall[219]. Plants are hardy to about -25°c[184]. The flowers are produced quite early in the year and are frost-resistant[182]. Plants are medium to fast growing[202]. Flowers are produced on wood that is more than one year old[202]. Any pruning is best done after the plant has finished flowering[182]. A very ornamental plant, there are several named varieties[182]. This species is notably susceptible to honey fungus[200]. Special Features:
Not North American native, Blooms are very showy. In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is fleshy. Thick or swollen - fibrous or tap root [2-1].","Seed - sow spring in a cold frame. The seed usually germinates within 2 months[K]. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Cuttings of half-ripe wood 10 - 15cm taken at a node, July/August in a frame. Plant out in autumn or spring. A very high percentage, they root within 3 weeks[78]. Cuttings of mature wood in a sheltered outdoor bed. Good percentage[78]. Layering in spring or summer. Plants often self-layer[K].",Syringa.jpg,https://commons.wikimedia.org/w/index.php?curid=1386186
24,Lupinus,White Lupin,Fabaceae or Leguminosae,"Disturbed ground on acid soils[45, 50].",S. Europe to Asia.,"Lupinus is a ANNUAL growing to 1.2 m (4ft) by 0.3 m (1ft in).  It is in flower from June to July, and the seeds ripen from August to September. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees. It can fix Nitrogen.  Suitable for: light (sandy) and medium (loamy) soils. Suitable pH: acid, neutral and basic (alkaline) soils and  can grow in very acid soils. It cannot grow in the shade. It prefers  moist soil.","An easily grown plant, succeeding in any moderately good soil. It prefers a light acid soil but tolerates adverse conditions[87]. Requires a sunny position[200]. The white lupin is sometimes cultivated, especially in S. Europe, for its edible seed[50] and also as a green manure crop[4]. There are some named varieties, many of which have bitter seeds that contain toxic alkaloids and require leaching before they are eaten but some sweet varieties have also been developed[183]. These sweet varieties are perfectly wholesome as food for humans and include the cultivar 'Kiev'[183]. There is some confusion between this species and L. nanus[1]. A deep rooting plant[87]. This species has a symbiotic relationship with certain soil bacteria, these bacteria form nodules on the roots and fix atmospheric nitrogen. Some of this nitrogen is utilized by the growing plant but some can also be used by other plants growing nearby[200]. When removing plant remains at the end of the growing season, it is best to only remove the aerial parts of the plant, leaving the roots in the ground to decay and release their nitrogen.","Pre-soak the seed for 24 hours in warm water and sow in mid spring in situ[1, 200]. You may need to protect the seed from mice. Germination should take place within 2 weeks.",Lupinus.jpg,https://commons.wikimedia.org/w/index.php?curid=63241545
25,Lychnis,Ragged Robin,Caryophyllaceae,"Damp meadows, marshes, fens and wet woods, avoiding acid soils[17].","Europe, including Britain, from Norway south and east Spain, Siberia and the Caucasus.","Lychnis is a PERENNIAL growing to 0.6 m (2ft) by 0.3 m (1ft in).  It is hardy to zone (UK) 6.  It is in flower from May to September, and the seeds ripen from July to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Bees, Lepidoptera (Moths & Butterflies).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist or  wet soil.","An easily grown plant, succeeding in ordinary garden soil so long as it is moist, and also doing well in a bog garden[1]. It prefers a sunny position[111]. Plants succeed in damp woodlands or damp meadows[200]. At least one named form has been selected for its ornamental value[187].","Seed - sow spring in a cold frame. When they are large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. The seed can also be sown in situ in spring or early autumn though this requires more seed. Division in spring or autumn[200]. Very easy, larger clumps can be replanted direct into their permanent positions, though it is best to pot up smaller clumps and grow them on in a cold frame until they are rooting well. Plant them out in the spring.",Lychnis.jpg,https://commons.wikimedia.org/w/index.php?curid=728280
26,Malva,"Vervain mallow, Hollyhock Mallow",Malvaceae,"Gardens, vineyards and waste places[74].",Europe. An occasional casual in Britain.,"Malva is a PERENNIAL growing to 1.2 m (4ft) by 0.8 m (2ft 7in) at a fast rate. It is hardy to zone (UK) 4 and is not frost tender.  It is in flower from July to October, and the seeds ripen from August to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: acid, neutral and basic (alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.","Landscape Uses:Border, Container, Massing. A very easily grown plant, succeeding in ordinary garden soil[1], though it prefers a reasonably well-drained and moderately fertile soil in a sunny position[200]. A very ornamental and polymorphic plant[1, 50]. It tends to be quite short-lived in cultivation but usually self-sows when well-sited[233, K]. It is closely related to M. excisa[74]. If the plant is cut back to the ground as it comes into flower, then it will produce a fresh flush of leaves for salads[K]. Plants seem to be immune to the predations of rabbits[233] and are seldom bothered by slugs[K]. Plants are prone to infestation by rust fungus[200]. Special Features:
Not North American native, Naturalizing, Extended bloom season in Zones 9A and above. The plant is heat tolerant in zones 8 through 1. (Plant Hardiness Zones show how well plants withstand cold winter temperatures. 
Plant Heat Zones show when plants would start suffering from the heat.  
The Plant Heat Zone map is based on the number of ""heat days"" experienced in a given area where the temperature climbs to over 86 degrees F (30°C). 
At this temperature, many plants begin to suffer physiological damage. Heat Zones range from 1 (no heat days) to 12 (210 or more heat days). 
For example Heat Zone. 11-1 indicates that the plant is heat tolerant in zones 11 through 1.)  For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. The plant growth habit is a clumper with limited spread [1-2].",Seed - best sown in early spring in a cold frame. The seed germinates quickly and easily. Prick out the seedlings into individual pots when they are large enough to handle and plant them out in their permanent positions in the early summer[K]. If you have sufficient seed then it can be sown outdoors in situ in the middle to late spring. Basal cuttings in late spring. Harvest the shoots with plenty of underground stem when they are about 8 - 10cm above the ground. Pot them up into individual pots and keep them in light shade in a cold frame or greenhouse until they are rooting well. Plant them out in the summer.,Malva.jpg,https://commons.wikimedia.org/w/index.php?curid=2041762
